Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
56,20A PORT,157.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
57,63A PORT,156.175000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
58,65A PORT,156.275000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
59,73 PORT,156.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
60,74 PORT,156.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
61,77 PORT,156.875000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
62,7A COM,156.350000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,COMMERCIAL,,,,
63,08 COM,156.400000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
64,10 COM,156.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
65,17 STA,156.850000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
66,18A COM,156.900000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
67,19A COM,156.950000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
68,79A COM,156.975000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
69,80A COM,157.025000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
70,81A EN,157.075000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
71,24 PUB,161.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
72,25 PUB,161.850000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
73,26 PUB,161.900000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
74,27 PUB,161.950000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
75,28 PUB,162.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
76,82A GOV,157.125000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
77,84 PUB,161.825000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
78,85 PUB,161.875000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
79,86 PUB,161.925000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
80,87 PUB,157.375000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
81,88 PUB,157.425000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
90,ELL 09,156.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,ELLIOTT BAY MARINA WHD714,,,,
91,ELL 16,156.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,ELLIOTT BAY MARINA WHD714,,,,
92,ELL 78A,156.925000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,ELLIOTT BAY MARINA WHD714,,,,
93,ELL V1,151.835000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,ELLIOTT BAY MARINA WPJZ854,,,,
94,ELL U3,451.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,ELLIOTT BAY MARINA WPJZ854,,,,
95,ELL U4,452.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,ELLIOTT BAY MARINA WPJZ854,,,,
96,ELL U5,456.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,ELLIOTT BAY MARINA WPJZ854,,,,
97,ELL U6,457.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,ELLIOTT BAY MARINA WPJZ854,,,,
98,ELL U7,468.200000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,ELLIOTT BAY MARINA WPJZ854,,,,
100,BELL 66A,156.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
101,BELL 09,156.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
102,BELL 16,156.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
103,BELL 78A,156.925000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
